Date,Close,High,Low,Open,Volume
08/10/2020,827.8943481,840.0630583,826.0150124,836.5862758,3918217
09/10/2020,853.6412964,859.7491376,832.1698509,833.861299,9668150
12/10/2020,851.104187,869.8975447,847.6274044,861.6284788,6188905
13/10/2020,842.3652954,860.4539024,835.223785,853.1714762,4548652
14/10/2020,859.9840698,861.6754606,833.6733687,842.8821026,5286914
15/10/2020,835.1768188,863.5548009,831.9819824,857.9167935,4927777
16/10/2020,840.1569824,848.9898829,835.8345334,840.0630386,2373435
19/10/2020,848.4261475,851.3390949,830.6664017,844.7614198,5800391
20/10/2020,861.9573364,879.0593033,857.916776,863.5547833,13188572
21/10/2020,868.6760254,874.8308388,853.8292836,869.1458594,6390783
22/10/2020,879.8110352,882.3481499,864.6354331,866.3737958,6151367
23/10/2020,884.4623413,891.274933,872.0117426,883.2877565,5102184
26/10/2020,894.3289185,901.3764277,886.1068244,892.5435265,6975809
27/10/2020,922.7068481,926.5124914,897.5237615,902.0811276,9638520
28/10/2020,923.5525513,934.6406781,915.4244585,930.2242276,7369181
29/10/2020,878.1196899,900.9536094,870.1325125,893.7181548,11852038
30/10/2020,873.4212646,889.6775069,868.4410365,884.2274449,4797473
02/11/2020,873.2334595,881.3616106,865.1053657,873.8912385,3682174
03/11/2020,890.5702515,895.4095641,876.240316,887.8922209,4049112
04/11/2020,900.2446289,910.5895629,890.809732,894.8806367,3369408
05/11/2020,917.7255249,919.3538984,904.5070703,911.882603,2889134
06/11/2020,920.263916,926.7294705,910.0626845,918.5876612,3419233
09/11/2020,925.1489258,933.5301996,921.844356,930.0819275,3040456
10/11/2020,990.1397705,993.2049925,930.6566918,933.913439,12149416
11/11/2020,1014.804688,1018.013612,978.2144838,996.1743581,10254627
12/11/2020,1027.97522,1030.513572,1008.099626,1010.446453,6743163
13/11/2020,1007.189636,1023.138026,994.3542908,1020.168684,5025096
14/11/2020,1014.565125,1022.802813,1009.5843,1015.379399,911852
17/11/2020,1035.35083,1050.628649,1016.337334,1018.205114,7611327
18/11/2020,1099.766968,1105.60989,1033.674629,1035.350884,13436421
19/11/2020,1086.452515,1127.401022,1061.021289,1077.640251,10841151
20/11/2020,1084.584717,1112.075247,1071.366205,1091.960191,7009257
23/11/2020,1078.406616,1099.479535,1075.533036,1090.810973,4998877
24/11/2020,1087.64978,1095.791588,1080.753237,1087.17085,4623887
25/11/2020,1068.971558,1099.431547,1065.571108,1093.396983,4651911
26/11/2020,1071.701538,1087.123059,1055.130632,1082.381699,7360928
27/11/2020,1075.102051,1091.768838,1045.983084,1081.423903,18995549
01/12/2020,1068.923706,1091.960283,1064.373872,1091.960283,3551604
02/12/2020,1066.816528,1084.345412,1057.573156,1072.851093,4434968
03/12/2020,1077.735962,1089.517567,1073.090365,1087.170857,4087608
04/12/2020,1101.060059,1113.033308,1081.184464,1082.381789,6542918
07/12/2020,1120.408813,1122.516176,1095.791858,1106.136793,5484461
08/12/2020,1122.037109,1132.669331,1099.671104,1125.437442,4982626
09/12/2020,1131.232544,1135.063984,1117.199873,1128.358964,4304573
10/12/2020,1140.188477,1143.445224,1120.743991,1132.19037,4921373
11/12/2020,1143.972168,1165.524017,1132.190444,1137.937604,6689415
14/12/2020,1196.989502,1210.639004,1147.611783,1147.611783,9723233
15/12/2020,1193.73291,1199.240605,1164.853411,1197.324885,6953407
16/12/2020,1214.805786,1224.14492,1194.499204,1203.311468,5729223
17/12/2020,1224.911377,1229.892202,1201.204343,1216.482162,5345257
18/12/2020,1227.54541,1246.175739,1216.482081,1229.84418,10315248
21/12/2020,1182.813232,1282.095431,1105.370286,1222.468654,21153346
22/12/2020,1209.489624,1214.566328,1162.410904,1183.196417,7998730
23/12/2020,1211.501221,1217.72731,1195.744356,1214.566326,4057070
24/12/2020,1209.010864,1227.018679,1200.677529,1221.271519,3277840
28/12/2020,1235.064697,1236.59725,1213.12968,1221.27149,3405825
29/12/2020,1230.706299,1240.47654,1214.278978,1240.380661,3778319
30/12/2020,1237.603027,1241.721755,1217.440028,1233.915173,2866392
31/12/2020,1233.340576,1249.049504,1227.976583,1238.513044,3889877
01/01/2021,1242.344238,1245.169878,1228.9342,1228.9342,2058419
04/01/2021,1259.202637,1266.817693,1247.133625,1250.007205,4014636
05/01/2021,1251.252441,1257.670056,1240.476517,1251.922897,2833637
06/01/2021,1258.62793,1273.953688,1245.217891,1252.88077,4615963
07/01/2021,1282.526489,1290.045783,1269.16439,1273.95369,4270598
08/01/2021,1315.52478,1324.672272,1290.237256,1292.919311,4984995
11/01/2021,1293.11084,1326.587996,1288.32154,1323.762356,3252470
12/01/2021,1292.919434,1309.250876,1287.411739,1296.942399,2836161
13/01/2021,1295.505493,1315.141621,1287.651089,1296.942283,4389762
14/01/2021,1318.589966,1331.137908,1299.097539,1300.773794,5168591
15/01/2021,1297.08606,1326.157085,1288.369558,1318.685731,2587576
18/01/2021,1279.748779,1296.798616,1270.265943,1288.513104,3185998
19/01/2021,1312.12439,1323.762411,1280.658715,1283.580234,3885798
20/01/2021,1324.38501,1334.346776,1305.132049,1311.310199,3957992
21/01/2021,1313.51355,1337.172647,1303.695484,1336.214787,2985423
22/01/2021,1304.700928,1317.057344,1291.674057,1304.605165,3282665
25/01/2021,1303.934814,1337.555676,1285.44807,1312.268149,4847989
27/01/2021,1302.545654,1334.011326,1274.049325,1311.11857,8896211
28/01/2021,1288.65686,1307.574594,1283.532333,1288.034228,2962948
29/01/2021,1278.455444,1311.310083,1269.260014,1304.605064,5130876
01/02/2021,1387.795166,1400.391046,1280.850095,1289.039843,11317043
02/02/2021,1456.13855,1525.870796,1411.88547,1411.88547,14349665
03/02/2021,1464.136841,1492.345769,1441.579193,1465.525691,6197782
04/02/2021,1465.334229,1484.682953,1446.368554,1460.736454,3957579
05/02/2021,1452.594482,1481.809208,1447.422016,1469.740197,3270494
08/02/2021,1486.407104,1503.840109,1455.947112,1457.048674,5223019
09/02/2021,1500.439453,1508.150271,1479.893407,1491.387725,3825206
10/02/2021,1487.41272,1498.092881,1464.28038,1494.261441,2578777
11/02/2021,1466.004639,1494.165744,1462.221139,1484.108215,2720190
12/02/2021,1457.240112,1478.935662,1452.211348,1470.314923,1867284
15/02/2021,1472.853271,1478.935658,1457.240109,1462.65204,1917477
16/02/2021,1484.156006,1507.671514,1474.146416,1475.104276,3838556
17/02/2021,1483.102417,1500.966528,1468.39929,1478.93575,2340184
18/02/2021,1460.353149,1485.832199,1451.30142,1477.21146,2446843
19/02/2021,1445.219116,1481.809319,1435.68834,1459.634838,3044240
22/02/2021,1391.00415,1448.236281,1386.119088,1447.230599,6168108
23/02/2021,1423.667236,1434.874151,1398.475474,1400.391194,3733776
24/02/2021,1462.268921,1467.441388,1424.050287,1424.050287,2380414
25/02/2021,1442.968018,1475.678957,1438.705588,1469.357105,3168105
26/02/2021,1381.712769,1430.563619,1374.672522,1419.548231,5579058
01/03/2021,1410.784058,1423.37994,1377.594186,1394.64414,2494481
02/03/2021,1423.044556,1426.875995,1396.703409,1416.962169,2089473
03/03/2021,1433.820435,1446.368375,1418.925667,1430.563688,2184001
04/03/2021,1400.966064,1431.378121,1396.559932,1410.927832,3530366
05/03/2021,1401.875732,1414.950425,1378.455991,1392.344957,3306902
08/03/2021,1451.349243,1460.736317,1408.054023,1415.716902,4150049
09/03/2021,1444.740112,1467.72875,1428.935424,1460.736326,3779948
10/03/2021,1459.970093,1470.075562,1443.973878,1458.820708,2210547
12/03/2021,1450.199829,1499.050682,1439.807073,1461.981552,4885349
15/03/2021,1421.224609,1463.705672,1401.636421,1455.94703,3181450
16/03/2021,1400.199707,1433.91633,1395.601933,1425.582995,3233903
17/03/2021,1377.067261,1430.036841,1371.415864,1413.801163,5178384
18/03/2021,1367.919678,1407.766626,1360.161036,1394.213002,3381940
19/03/2021,1351.779907,1361.9332,1320.505755,1355.371882,9920812
22/03/2021,1341.05188,1357.670727,1333.580525,1349.62468,2964175
23/03/2021,1345.170532,1356.808553,1339.183908,1342.823822,2564844
24/03/2021,1311.453979,1347.708955,1302.737477,1341.003936,4237815
25/03/2021,1313.321655,1330.46737,1303.647294,1303.647294,3894604
26/03/2021,1339.37561,1348.666805,1323.762446,1327.881291,3093766
30/03/2021,1363.561523,1368.015478,1336.741446,1348.666755,2801282
31/03/2021,1359.107422,1371.272196,1350.965613,1363.609317,2400871
01/04/2021,1383.724365,1386.83741,1360.639965,1371.655354,1380763
05/04/2021,1344.643677,1378.360296,1323.187593,1378.360296,2548649
06/04/2021,1341.96167,1356.616973,1334.586196,1346.655207,1824079
07/04/2021,1344.979004,1357.479005,1330.706868,1342.919582,1841308
08/04/2021,1359.346924,1374.337455,1350.582482,1350.582482,1644834
09/04/2021,1344.93103,1357.287446,1338.226011,1354.413866,2015002
12/04/2021,1288.46521,1335.208701,1275.869329,1335.208701,3755497
13/04/2021,1315.812134,1323.762418,1290.476786,1290.476786,2063654
15/04/2021,1316.722046,1332.478793,1300.869419,1320.840773,2625838
16/04/2021,1301.875488,1334.586432,1298.187751,1303.168576,3752588
19/04/2021,1255.227539,1289.471033,1250.965109,1283.532348,4157065
20/04/2021,1275.390503,1283.005443,1262.171989,1264.375114,2989204
22/04/2021,1280.467163,1283.053338,1252.162356,1254.796471,2398100
23/04/2021,1267.152832,1287.986284,1259.058846,1273.953614,2062964
26/04/2021,1279.60498,1284.681567,1267.248565,1274.001524,1431562
27/04/2021,1322.46936,1329.940598,1279.605128,1282.57447,4303909
28/04/2021,1317.919434,1340.955894,1314.662687,1326.492233,3220346
29/04/2021,1301.39624,1330.994131,1296.463239,1325.630023,2221346
30/04/2021,1283.963257,1307.478764,1279.79659,1293.110866,1968093
03/05/2021,1285.92688,1294.356094,1263.560875,1269.643262,1653245
04/05/2021,1281.233276,1293.972859,1274.911425,1293.110762,2029558
05/05/2021,1282.239258,1289.9979,1268.206586,1285.639591,1813150
06/05/2021,1283.436646,1299.385038,1279.461503,1287.363848,2333882
07/05/2021,1286.11853,1302.593792,1282.574495,1290.237375,2362325
10/05/2021,1336.214478,1339.902215,1290.237205,1290.237205,3929224
11/05/2021,1325.295044,1340.908208,1318.111094,1321.846771,1975828
12/05/2021,1326.92334,1364.95033,1318.973056,1321.846636,4283174
14/05/2021,1355.850586,1363.896632,1316.147343,1335.2566,4558155
17/05/2021,1328.312256,1380.276157,1310.543907,1372.613278,9620003
18/05/2021,1357.574951,1362.076846,1338.130347,1345.793227,3312380
19/05/2021,1344.308594,1374.529124,1341.004023,1354.414064,3215258
20/05/2021,1350.343018,1366.818161,1342.584376,1351.348817,1996254
21/05/2021,1358.293213,1364.662887,1347.804577,1355.371694,2185322
24/05/2021,1382.431274,1396.559708,1350.582433,1360.161032,5035538
25/05/2021,1389.806885,1400.343344,1381.329847,1398.475564,2892219
26/05/2021,1410.831909,1414.375944,1391.578948,1397.42187,3230579
27/05/2021,1420.362549,1422.421971,1400.151728,1413.753292,3747221
28/05/2021,1415.812744,1436.454672,1411.789779,1424.433484,2315923
31/05/2021,1405.850952,1413.801236,1396.128768,1410.257201,2405318
01/06/2021,1412.508179,1429.605955,1401.349087,1404.174727,2077742
02/06/2021,1409.059937,1412.460269,1393.734177,1406.425822,2469417
03/06/2021,1447.182617,1451.157759,1411.119168,1417.728425,3025466
04/06/2021,1472.757568,1482.048763,1452.977738,1454.94128,5677538
07/06/2021,1492.154175,1503.361089,1475.822617,1480.324512,3131245
08/06/2021,1483.86853,1516.292061,1480.899188,1495.219146,3945382
09/06/2021,1455.276611,1489.472163,1449.529452,1484.682864,3025732
10/06/2021,1455.659668,1469.357112,1451.157773,1460.736372,1584311
11/06/2021,1440.09436,1462.795709,1435.496703,1456.904848,1909384
14/06/2021,1451.876221,1455.468196,1415.717008,1440.094497,2005404
15/06/2021,1447.134766,1459.491065,1442.393289,1455.94703,1831871
16/06/2021,1428.073486,1452.115749,1425.295669,1442.393446,1504791
17/06/2021,1424.864502,1436.646108,1417.872078,1418.590473,1675778
18/06/2021,1413.80127,1428.121229,1398.571273,1424.864599,4649835
21/06/2021,1405.228516,1407.479463,1386.262841,1398.475556,1970012
22/06/2021,1436.023438,1441.387546,1407.622987,1408.149739,3862264
23/06/2021,1416.914307,1443.49492,1413.897024,1441.5792,1818874
24/06/2021,1440.669434,1449.433759,1419.548573,1427.211453,2762042
25/06/2021,1459.634766,1464.855172,1443.97378,1446.84736,2099002
28/06/2021,1450.630981,1463.562091,1446.703779,1461.694311,1173658
29/06/2021,1447.230469,1465.334043,1440.52545,1449.241951,2174022
30/06/2021,1437.31665,1459.203725,1432.479411,1452.115538,2139362
01/07/2021,1429.414307,1439.66336,1417.776286,1434.011964,2060651
02/07/2021,1423.044556,1437.412454,1413.322254,1436.789822,1814564
05/07/2021,1444.404907,1450.200007,1425.295647,1427.211367,1605396
06/07/2021,1442.058105,1454.989214,1436.789876,1442.537035,1072506
07/07/2021,1452.546509,1455.659553,1432.000462,1432.000462,1096808
08/07/2021,1437.460327,1459.77851,1433.916292,1439.663452,1456033
09/07/2021,1436.406738,1439.519783,1422.900937,1434.778423,1248405
12/07/2021,1437.508301,1452.115665,1428.743859,1441.004513,865284
13/07/2021,1449.816772,1451.1578,1438.082988,1451.1578,995833
14/07/2021,1479.606201,1484.587143,1444.452788,1449.768958,4010254
15/07/2021,1541.53186,1556.522392,1484.634957,1484.682897,9066480
16/07/2021,1550.535767,1554.415146,1527.882356,1541.53186,4157388
19/07/2021,1541.771362,1570.315636,1530.277043,1532.57593,3027093
20/07/2021,1523.33252,1554.271442,1515.334412,1542.010788,1847026
22/07/2021,1572.949829,1577.739129,1524.482136,1542.154607,3231269
23/07/2021,1543.830688,1576.58945,1539.137152,1574.72167,2259058
26/07/2021,1530.276978,1558.725487,1525.67932,1543.830719,2219416
27/07/2021,1540.478149,1550.775143,1517.489512,1542.298107,3984778
28/07/2021,1544.304565,1551.182444,1504.394093,1542.609337,4119892
29/07/2021,1546.048218,1557.042961,1536.361199,1544.110814,1672177
30/07/2021,1551.327515,1574.043644,1535.392417,1547.985541,2536568
02/08/2021,1563.436401,1567.359691,1551.908943,1556.025926,1083353
